sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
돼지고기,간장돼지고기주물럭,간편조리세트,제조일로부터 7일,해당없음.,농업회사법인(주)승화푸드,200700565442225,20230719,20230720
돼지고기,간장연탄돼지고기,식육함유가공품,냉동10개월,,감성푸드,201104490243,20120319,20191203
돼지고기,간장제외/돼지고기곤드레야채덮밥 밀키트,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872036,20241121,20250110
돼지고기,간장제외/돼지고기곤드레야채덮밥 밀키트(베이직),즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872008,20241121,20241205
돼지고기,간장제외/돼지고기두부청경채탕,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872075,20260408,20260612
돼지고기,간장제외/돼지고기배추무국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872079,20260408,20260612
돼지고기,간장제외/돼지고기버섯된장국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872080,20260408,20260612
돼지고기,간장제외/돼지고기숙주참나물국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872077,20260408,20260612
돼지고기,간장제외/돼지고기아기감자탕,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872076,20260408,20260612
돼지고기,간장제외/돼지고기애호박찌개,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872078,20260408,20260612
돼지고기,간편한 국내산돼지고기김치찜,조림류,제조일로부터 12개월 까지,,(주)녹선,200103770922209,20251203,20251205
돼지고기,간편한국산돼지고기장조림,조림류,제조일로부터 12개월,,한성기업(주),19840607028222,20240423,20241108
돼지고기,갓셰프 돼지고기묵은지두루치기,식육함유가공품,제조일로부터 12개월,,(유)더원에프엔씨,2020048811352,20250821,20250826
돼지고기,거궁 돼지고기묵은지찜,조림류,제조일로부터 14 일,,(주)거궁푸드시스템,20180387351129,20240320,20240323
돼지고기,건강한 돼지고기와 채소 건더기가 듬뿍 짜장소스,소스,제조일로부터 18개월,,한국에스비식품(주),196903640041188,20170927,20260201
돼지고기,걸룹지 ( 돼지고기),즉석조리식품,제조일로부터12월,제조일로부터12개월,JT FOOD,20210387697116,20220828,20220930
돼지고기,경복궁 宮 돼지고기 김치찌개,즉석조리식품,제조일로부터 12개월까지,,(주)초원식품,19990208512385,20251023,20251028
돼지고기,고사리돼지고기주물럭,식육함유가공품,제조일로부터 12개월,,(주)현대그린푸드 스마트푸드센터,201902803272596,20220727,20220730
돼지고기,고사리돼지고기찜 세트,즉석섭취식품,제조일로부터 4일,,(주)현대그린푸드 스마트푸드센터,201902803272205,20211014,20260210
돼지고기,고추장돼지고기양념,소스,제조일로부터 12 개월,제조일로부터 12 개월,(주)본에프앤비,2011033302449,20170712,20170715
돼지고기,고추장맛 돼지고기 장조림,조림류,36개월,,(주) 시즈너,2010044407719,20160820,20230920
돼지고기,곰곰 감자듬뿍 돼지고기 짜글이,간편조리세트,제조일로부터 7일,,주식회사 베지스타,201703332531104,20230724,20230725
돼지고기,곰곰 돼지고기 묵은지찜 밀키트,간편조리세트,제조일로부터 7일,,(주)마이셰프,2023037706728,20230323,20230517
