sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
샌드위치,샌드위치,(냉동)잡곡샌드위치빵,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388218,20200320,20250402
감자,감자,(냉동)정통 통뼈 우거지 가득 감자탕,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298114,20220329,20231213
무,무,(냉동)초코무스케익,빵류,제조일로부터 6개월까지,-18℃이하 냉동보관시 제조일로부터 6개월,(주)북해도스위트코리아,2014045904049,20240807,20251014
케이크,케이크,(냉동)초코수플레케이크,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388456,20240314,20240321
쿠키,쿠키,(냉동)초코쿠키머핀,빵류,제조일로 부터 90일,,(주)현대그린푸드 베이커리공장,20160275388126,20170417,20241205
쿠키,쿠키,(냉동)초콜릿 칩 쿠키,과자,냉동보관(-18℃이하) / 제조일로부터 12개월,,주식회사 더블스윗,2023048916894,20250909,20260529
떡볶이,떡볶이,(냉동)추억의 쟁반 떡볶이,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298113,20220329,20231201
치즈,치즈,(냉동)치즈브레드,빵류,제조일로부터12개월,,주식회사 대신에프에스,20160501105242,20251021,20251024
치즈,치즈,(냉동)치즈케이크,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388381,20211209,20231026
케이크,케이크,(냉동)케이크오랑쥬,빵류,90일,,(주)현대그린푸드 베이커리공장,2016027538866,20161227,20250213
쿠키,쿠키,(냉동)크랜베리월넛쿠키,과자,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388498,20250226,20250304
치즈,치즈,(냉동)크림치즈머핀,빵류,제조일로 부터 90일,,(주)현대그린푸드 베이커리공장,20160275388127,20170417,20240327
케이크,케이크,(냉동)클래식 너티 초코케이크,빵류,제조일로부터 6개월까지,해당없음.,(주)북해도스위트코리아,2014045904047,20240711,20240716
무,무,(냉동)통밀무화과빵,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388392,20220516,20220520
치즈,치즈,(냉동)파치즈스콘,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388347,20210712,20240327
치즈,치즈,(냉동)허니치즈카스테라,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388162,20180525,20260407
쌀,쌀,(냉동)홍국쌀휘낭시에,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388354,20210727,20240327
쿠키,쿠키,(냉동)흑임자 쿠키,과자,냉동보관(-18℃이하) / 제조일로부터 12개월,,주식회사 더블스윗,2023048916895,20250909,20260529
떡볶이,떡볶이,(냉동)CB떡볶이스프,복합조미식품,제조일로부터 18개월,,(주)송림에프에스,20180450029976,20211019,20211022
감자,감자,(냉동생)감자떡,떡류,제조일로부터 2년,,다복솔식품,200604941366,20061220,20240611
감자,감자,(냉동생)백련초감자떡,떡류,제조일로부터 2년,,다복솔식품,200604941365,20061220,20240611
감자,감자,(냉동생)호박감자떡,떡류,제조일로부터 2년,,다복솔식품,200604941363,20061220,20240611
소금,소금,(냉동생지) 수제 소금빵 (80g),빵류,별도 표기일까지,-18℃이하 냉동 보관시 6개월,주식회사 해든,20200600351117,20251208,20251211
갈치,갈치,(냉장) 손질갈치,기타 수산물가공품,제조일로부터 5일,,(주)대풍수산식품,20130128263110,20211202,20211207
갈비,갈비,(냉장)수원왕갈비맛소스,소스,"냉장, 6개월",,(주)시아스,200504150203300,20190227,20190301
쿠키,쿠키,(냉장)아몬드쿠키,과자,제조일로부터 30일까지,,서울식품공업(주),198504330151904,20180201,20260203
떡볶이,떡볶이,(놀숲)떡볶이소스TH(아주순한맛),복합조미식품,제조일로부터 12개월,,그린식품 2공장,2024053020365,20241030,20250115
